strategy,fgi_col,entry,exit,fast,slow,total_return,cagr,sharpe,max_dd,calmar,transactions
kontrarian_long,FGI_Equal,1.0,50.0,,,43.66171744642378,2.0362948237813594,0.33060029804029123,-13.114373209204297,0.1552719898463916,16
kontrarian_combined,FGI_Equal,1.0,50.0,,,-62.849574327387344,-5.360557340581595,-0.17583322792849224,-75.15303467368096,-0.07132855464662818,33
kontrarian_long,FGI_Equal,1.0,51.0,,,45.125156255769696,2.093852890039183,0.33881014972709883,-13.114373209204297,0.15966091986535935,16
kontrarian_combined,FGI_Equal,1.0,51.0,,,-62.08681003916197,-5.253474028794425,-0.17016960482003002,-75.15303467368103,-0.06990368454986978,33
kontrarian_long,FGI_Equal,1.0,52.0,,,46.10466598020171,2.132072269512464,0.34328512649822013,-13.114373209204297,0.16257523218998168,16
kontrarian_combined,FGI_Equal,1.0,52.0,,,-61.548913135558415,-5.179175926593926,-0.16625110486849776,-74.75584404504984,-0.06928121798040054,33
kontrarian_long,FGI_Equal,1.0,53.0,,,48.87662112318196,2.238933945037891,0.35811226142377434,-13.114373209204297,0.17072367160227678,16
kontrarian_combined,FGI_Equal,1.0,53.0,,,-60.06247749992982,-4.978850761910769,-0.1557082648065499,-74.78822265637386,-0.0665726579007884,33
kontrarian_long,FGI_Equal,1.0,54.0,,,48.14926160344335,2.2110765146023947,0.3540152827070925,-13.114373209204297,0.16859948083912657,16
kontrarian_combined,FGI_Equal,1.0,54.0,,,-60.44989686730297,-5.030375520189601,-0.15841597288577655,-74.72205861147971,-0.06732115808459235,33
kontrarian_long,FGI_Equal,1.0,55.0,,,52.00061158762461,2.357137746380289,0.3743053644610095,-13.114373209204297,0.17973697322613455,16
kontrarian_combined,FGI_Equal,1.0,55.0,,,-58.35106387939455,-4.756746865449979,-0.14403324873119328,-73.380616414107,-0.06482293414661916,33
kontrarian_long,FGI_Equal,1.0,56.0,,,53.959636441249145,2.430097265104436,0.38437551997490743,-13.114373209204297,0.18530029810337234,16
kontrarian_combined,FGI_Equal,1.0,56.0,,,-55.656952304096464,-4.4239955763315635,-0.12677178361055885,-72.68550201058662,-0.06086489676699502,33
kontrarian_long,FGI_Equal,1.0,57.0,,,54.362883237580895,2.4450064304992747,0.3846083614837385,-13.114373209204297,0.18643715498223368,16
kontrarian_combined,FGI_Equal,1.0,57.0,,,-55.38127171209178,-4.391030346280811,-0.12501881721667898,-72.68550201058662,-0.06041136436866404,33
kontrarian_long,FGI_Equal,1.0,58.0,,,55.42047472241967,2.483934517319697,0.3900971396224556,-13.114373209204297,0.18940550781156298,16
kontrarian_combined,FGI_Equal,1.0,58.0,,,-54.76624982199048,-4.3181753123493705,-0.12121259847418685,-72.30900059906676,-0.059718365301332926,33
kontrarian_long,FGI_Equal,1.0,59.0,,,56.52881578520339,2.5244630718205707,0.39578479682729134,-13.114373209204297,0.19249589984588675,16
kontrarian_combined,FGI_Equal,1.0,59.0,,,-54.117627988555924,-4.2423466543262345,-0.11724403464119354,-72.08996086696827,-0.058847953353101126,33
kontrarian_long,FGI_Equal,1.0,60.0,,,64.93087181399176,2.8231702068042264,0.43516625065638626,-13.114373209204297,0.21527298039854392,16
kontrarian_combined,FGI_Equal,1.0,60.0,,,-48.991010399520206,-3.6763240805223973,-0.08773007389661737,-71.8814797354022,-0.05114424597344201,33
kontrarian_long,FGI_Equal,1.0,61.0,,,63.99132347953851,2.7904905633306276,0.43050693855925115,-13.114373209204297,0.21278108521207306,16
kontrarian_combined,FGI_Equal,1.0,61.0,,,-49.56887607536987,-3.737368431715382,-0.09090309686710836,-71.8814797354022,-0.051993482124641055,33
kontrarian_long,FGI_Equal,1.0,62.0,,,63.88023587177938,2.7866149998756473,0.4298896123651555,-13.114373209204297,0.2124855649158945,16
kontrarian_combined,FGI_Equal,1.0,62.0,,,-49.635588523430464,-3.744458258049088,-0.09127024201119616,-72.1482148028023,-0.051899527497437814,33
kontrarian_long,FGI_Equal,1.0,63.0,,,67.93562476489711,2.9265148200877444,0.43746027086124667,-13.114373209204297,0.22315323602608592,16
kontrarian_combined,FGI_Equal,1.0,63.0,,,-46.80681460648625,-3.4513428142994296,-0.07602753536930204,-73.24287393360807,-0.04712189225982507,33
kontrarian_long,FGI_Equal,1.0,64.0,,,68.23011165875535,2.9365491710863,0.4388025327096105,-13.114373209204297,0.22391837751157553,16
kontrarian_combined,FGI_Equal,1.0,64.0,,,-46.61993093175229,-3.4325002324202325,-0.0750479475015138,-73.24287393360807,-0.046864630619651355,33
kontrarian_long,FGI_Equal,1.0,65.0,,,76.82775341802186,3.222425041324306,0.47573987918488053,-13.114373209204297,0.24571704571154446,16
kontrarian_combined,FGI_Equal,1.0,65.0,,,-40.916249848718124,-2.8854823366326054,-0.04675557751595216,-72.58053894621412,-0.03975559259446799,33
kontrarian_long,FGI_Equal,1.0,66.0,,,75.61195362692573,3.182806555688944,0.47027610770593536,-13.114373209204297,0.24269604844363415,16
kontrarian_combined,FGI_Equal,1.0,66.0,,,-41.72454284782688,-2.9598877385959232,-0.050581524326865544,-72.66061186549557,-0.040735794299049784,33
